State,Jurisdiction Name,Jurisdiction Type,Date,Description,Finance Mechanism,"""Other"" Comment",Purpose,Total Funds at Stake,Conservation Funds at Stake,Total Funds Approved,Conservation Funds Approved,Pass?,Status,% Yes,% No,Notes,Voted Acq. Measure
NJ,Alpha Borough,Municipal,11-02-2004,2 cents per $100 property tax increase for open space,Property tax,,Open space,"$780,000","$780,000","$780,000","$780,000",yes,Pass,53.546910755149%,46.453089244851%,Warren County,yes
NJ,Deptford Township,Municipal,11-02-2004,2 cents per $100 property tax increase for open space and farmland preservation,Property tax,,"Open space, farmland","$6,240,000","$6,240,000",,,no,Fail,49.337567064491%,50.662432935509%,Gloucester County,yes
NJ,Gloucester County,County,11-02-2004,"20-year, 2 cents per $100 property tax increase for the purchase of development rights on farmland and open space acquisition for parks and recreation",Property tax,,"Open space, farmland, recreation","$60,059,200","$60,059,200","$60,059,200","$60,059,200",yes,Pass,61.150055761659%,38.849944238341%,,yes
NJ,Mercer County,County,11-02-2004,1 cent per $100 property tax increase for open space,Property tax,,Open space,"$78,473,333","$78,473,333","$78,473,333","$78,473,333",yes,Pass,67.427633932857%,32.572366067143%,,yes
NJ,North Hanover Township,Municipal,11-02-2004,"5-year, 7 cents per $100 property tax increase for open space and farmland preservation",Property tax,,"Open space, farmland","$750,000","$750,000","$750,000","$750,000",yes,Pass,60.416666666667%,39.583333333333%,Burlington County,yes
NJ,Plumsted Township,Municipal,11-02-2004,1 cent per $100 property tax increase for open space,Property tax,,Open space,"$794,240","$794,240","$794,240","$794,240",yes,Pass,75.786163522013%,24.213836477987%,Ocean County,yes
NJ,Ocean Township,Municipal,11-02-2004,4 cents per $100 property tax increase for the preservation of farmland and recreational areas,Property tax,,"Open space, farmland, recreation","$15,000,000","$15,000,000",,,no,Fail,48.840112347862%,51.159887652138%,Monmouth County,yes
NJ,Tabernacle Township,Municipal,11-02-2004,"2 cents per $100 property tax increase for the preservation of open space, farmland, and historic properties",Property tax,,"Open space, farmland","$1,497,448","$1,497,448","$1,497,448","$1,497,448",yes,Pass*,50.073964497041%,49.926035502959%,"Burlington County, Eventually overturned because of the four vote margin of victory",yes
NJ,Point Pleasant Borough,Municipal,11-02-2004,1 cent per $100 property tax increase for creation of open space trust fund and land aquisition,Property tax,,Open space,"$2,700,000","$2,700,000","$2,700,000","$2,700,000",yes,Pass,58.416655252705%,41.583344747295%,Ocean County,yes
NJ,Hunterdon County,County,11-02-2004,"5-year, 3 cents property tax continuation for the Open Space Trust Fund",Property tax,,"Open space, recreation, farmland","$26,390,000","$26,390,000","$26,390,000","$26,390,000",yes,Pass,76.35898445188%,23.64101554812%,,yes
NJ,Edison Township,Municipal,11-02-2004,"15-year continuation, 1 cent property tax",Property tax,,Open space,"$10,725,000","$10,725,000",,,no,Fail,46.997793349077%,53.002206650923%,Middlesex County,yes
NJ,Fair Lawn Borough,Municipal,11-02-2004,1 cent per $100 property tax for open space acquisition and maintenance,Property tax,,"Open space, farmland","$5,000,000","$5,000,000",,,no,Fail,45.506566604128%,54.493433395872%,Bergen County,yes
NJ,Boonton Township,Municipal,11-02-2004,2 cents per $100 property tax increase for open space trust fund,Property tax,,"Open space, farm land, recreation","$1,987,530","$1,987,530",,,no,Fail,48.850913376547%,51.149086623453%,Morris County,yes
NJ,Franklin Township,Municipal,11-02-2004,1/2 cent per $100 property tax for open space trust fund,Property tax,,"Open space, farm land, recreation","$732,295","$732,295","$732,295","$732,295",yes,Pass,62.670495333812%,37.329504666188%,Warren County,yes
NJ,West Amwell Township,Municipal,11-02-2004,"2 cents per $100 property tax increase for open space, farmland preservation, conservation, recreation, and historic preservation",Property tax,,"Open space, recreation, farmland","$6,279,040","$6,279,040","$6,279,040","$6,279,040",yes,Pass,64.036418816388%,35.963581183612%,Hunterdon County,yes
NJ,Shamong Township,Municipal,11-02-2004,"10-year, 2 cent per $100 property tax increase for acquisition, improvement and preservation of open space, farmland",Property tax,,"Open space, farm land, recreation","$750,276","$750,276","$750,276","$750,276",yes,Pass,52.279381012129%,47.720618987871%,Burlington County,yes
NJ,Carteret Borough,Municipal,11-02-2004,"2 cents per $100 property tax for acquisition and/or improvement for lands, parks and water.",Property tax,,"Open space, parks, watershed protection, recreation","$3,856,080","$3,856,080","$3,856,080","$3,856,080",yes,Pass,57.430887549366%,42.569112450634%,Middlesex County,yes
NJ,Monroe Township,Municipal,11-02-2004,1 cent per $100 property tax increase for land acquisition and conservation,Property tax,,"Open space, farmland","$2,666,660","$2,666,660","$2,666,660","$2,666,660",yes,Pass,54.053661019414%,45.946338980586%,Middlesex County,yes
NJ,Harrison Township,Municipal,11-02-2004,4 cents per $100 property tax increase for farmland preservation easements,Property tax,,"Open space, farmland","$4,800,000","$4,800,000","$4,800,000","$4,800,000",yes,Pass,53.787195671776%,46.212804328224%,Gloucester County,yes
NJ,Delran Township,Municipal,11-02-2004,"20-year, property tax to institute a Municipal Open Space, Recreation and Farmland and Historic Preservation Trust Fund",Property tax,,"Open space, farmland, recreation","$6,500,000","$6,500,000","$6,500,000","$6,500,000",yes,Pass,64.618922470434%,35.381077529566%,Burlington County,yes
NJ,Hainesport Township,Municipal,11-02-2004,3 cents per $100 property tax increase to establish an open space trust fund,Property tax,,"Opens space, recreation","$2,066,340","$2,066,340","$2,066,340","$2,066,340",yes,Pass,61.715575620767%,38.284424379233%,Burlington County,yes
NJ,Cinnaminson Township,Municipal,11-02-2004,"1.75 cent per $100 property tax increase for the acquisition and preservation of open space, recreation, farmland, and historic properties",Property tax,,"Open space, farmland, recreation","$3,183,560","$3,183,560","$3,183,560","$3,183,560",yes,Pass,69.612357047379%,30.387642952621%,Burlington County,yes
NJ,Alexandria Township,Municipal,11-02-2004,2 cents per $100 property tax increase to annual open space preservation fund,Property tax,,"Open space, farmland","$1,624,080","$1,624,080",,,no,Fail,48.291782086796%,51.708217913204%,Question 1 on the ballot would include further land acquisition through this fund if passed.  Hunterdon County. Township Question #2,yes
NJ,Delanco Township,Municipal,11-02-2004,"2 cents per $100 property tax to raise revenue for acquisition and preservation of open space, recreation, farmland, historic properties",Property tax,,"Open space, recreation, farmland","$633,736","$633,736","$633,736","$633,736",yes,Pass,64.800514800515%,35.199485199485%,Burlington County,yes
NJ,East Hanover Township,Municipal,11-02-2004,1 cent per $100 property value increase to go towards Open Space Trust Fund,Property tax,,Open space,"$4,943,180","$4,943,180",,,no,Fail,40.11991006745%,59.88008993255%,Morris County,yes
NJ,Mantua Township,Municipal,11-02-2004,"2 cents per $100 property tax increase for acquisition, development and maintenance of open space, farmland, recreation and conservation",Property tax,,"Open space, farmland, recreation","$2,652,000","$2,652,000","$2,652,000","$2,652,000",yes,Pass,50.56511910972%,49.43488089028%,Gloucester County,yes
NJ,Galloway Township,Municipal,11-02-2004,2 cents per $100 property tax to establish open space trust fund,Property tax,,"Open space, recreation","$6,825,920","$6,825,920",,,no,Fail,46.365831321289%,53.634168678711%,Atlantic County,yes
NJ,Alloway Township,Municipal,11-02-2004,"2 cents per $100 property tax for acquisition of open space, farmland, and habitat",Property tax,,"Open space, wildlife habitat, farmland","$712,000","$712,000","$712,000","$712,000",yes,Pass,52.777777777778%,47.222222222222%,Salem County,yes
NJ,Spring Lake Heights Borough,Municipal,11-02-2004,"1 cent per $100 property tax to establish a municipal trust fund for acquisition, development, and maintenance of lands for recreation and conservation purposes",Property tax,,Recreation,"$1,720,040","$1,720,040","$1,720,040","$1,720,040",yes,Pass,51.614505712866%,48.385494287134%,Monmouth County,yes
NJ,Hope Township,Municipal,11-02-2004,5 cents per $100 property tax to establish Farmland Preservation Trust Fund to acquire and preserve farmland,Property tax,,Farmland,"$1,653,900","$1,653,900","$1,653,900","$1,653,900",yes,Pass,66.351209253417%,33.648790746583%,Warren County,yes
NJ,Riverdale Borough,Municipal,11-02-2004,"7-year, 1 cent per $100 property tax to establish a Recreation and Open Space Trust Fund",Property tax,,"Recreation, open space","$374,185","$374,185","$374,185","$374,185",yes,Pass,51.751751751752%,48.248248248248%,Morris County,yes
NJ,Port Republic,Municipal,11-02-2004,2 cents per $100 property tax to establish Open Space Fund for acquisition and development,Property tax,,Open space,"$306,560","$306,560","$306,560","$306,560",yes,Pass,64.684014869888%,35.315985130112%,Atlantic County,yes
NJ,Paramus Borough,Municipal,11-02-2004,"5-year, 1 cent per $100 property tax to establish an open space trust fund",Property tax,,Open space,"$1,775,000","$1,775,000",,,no,Fail,48.649254567874%,51.350745432126%,Bergen County,yes
NJ,Roseland Borough,Municipal,11-02-2004,2 cents per $100 property tax increase for Municipal Recreation and Open Space Trust Fund,Property tax,,"Open space, farmland, recreation","$1,061,920","$1,061,920","$1,061,920","$1,061,920",yes,Pass,67.740336967294%,32.259663032706%,Essex County,yes
NJ,New Milford Borough,Municipal,11-02-2004,"5-year renewal, 1/2 cent per $100 property tax for acquisition and improvement of land",Property tax,,"Open space, farmland, recreation","$247,120","$247,120","$247,210","$247,210",yes,Pass,61.359026369168%,38.640973630832%,Bergen County,yes
NJ,Old Tappan Borough,Municipal,11-02-2004,"5-year, 1 cent per $100 property tax to establish Open Space Trust Fund",Property tax,,"Open space, farmland","$590,000","$590,000","$590,000","$590,000",yes,Pass,71.710224667584%,28.289775332416%,Bergen County,yes
NJ,Ridgewood Village,Municipal,11-02-2004,1 cent per $100 property tax increase for open space trust fund,Property tax,,Open space,"$7,727,160","$7,727,160",,,no,Fail,48.448275862069%,51.551724137931%,Bergen County,yes
NJ,Teaneck Township,Municipal,11-02-2004,"4-year, 1 cent per $100 property tax to establish an open space trust fund",Property tax,,Open space,"$1,000,000","$1,000,000","$1,000,000","$1,000,000",yes,Pass,52.329749103943%,47.670250896057%,Bergen County,yes
NJ,West Paterson Borough,Municipal,11-02-2004,1 cent per $100 property tax to finance open space preservation and recreational facility development,Property tax,,"Open space, recreation","$2,091,100","$2,091,100","$2,091,100","$2,091,100",yes,Pass,55.20731309174%,44.79268690826%,Passaic County.  Question 1,yes
NV,Washoe County,County,11-02-2004,"30-year, 1/8% sales tax increase for open space",Sales tax,,Open space,,,,,no,Fail,48.24044756896%,51.75955243104%,Advisory Question,yes
NY,Brookhaven,Municipal,11-02-2004,Bond for conservation and land acquisition,Bond,,Open space,"$100,000,000","$100,000,000","$100,000,000","$100,000,000",yes,Pass,70.444267092312%,29.555732907688%,,yes
NY,Suffolk County,County,11-02-2004,"Bond for the preservation of farmland and open space, and the creation of parks",Bond,,"Open space, farmland, parks","$75,000,000","$75,000,000","$75,000,000","$75,000,000",yes,Pass,67.65066196047%,32.34933803953%,,yes
NY,Nassau County,County,11-02-2004,"Bond to preserve open space, protect drinking water, improve parks and waterways",Bond,,"Open space, parks","$50,000,000","$50,000,000","$50,000,000","$50,000,000",yes,Pass,76.584640660018%,23.415359339982%,,yes
NY,Oyster Bay,Municipal,11-02-2004,Bond for open space,Bond,,Open space,"$30,000,000","$30,000,000","$30,000,000","$30,000,000",yes,Pass,70.630390271142%,29.369609728858%,,yes
NY,Clarkstown,Municipal,11-02-2004,Bond referendum to acquire Petersen's Boatyard historic site,Bond,,Open space,"$4,975,000","$4,975,000",,,no,Fail,38.755486702814%,61.244513297186%,,yes
NY,North Castle,Municipal,11-02-2004,Bond for open space land acquisition,Bond,,Open space,"$3,000,000","$3,000,000","$3,000,000","$3,000,000",yes,Pass,68.370298939248%,31.629701060752%,,yes
NY,Malta,Municipal,11-02-2004,Bond to acquire a horse farm,Bond,,"Open space, wildlife habitat, farmland","$5,550,000","$5,550,000",,,no,Fail,49.208860759494%,50.791139240506%,Saratoga County,yes
NY,Chester,Municipal,11-02-2004,Bond to acquire a farm to be used as open space,Bond,,Open space,"$4,400,000","$4,400,000","$4,400,000","$4,400,000",yes,Pass,64.819277108434%,35.180722891566%,,yes
NY,Goshen,Municipal,11-02-2004,"Bond to acquire land to be used for open space, natural areas, farmland, and protecting water quality",Bond,,"Open space, farmland, watershed protection","$5,000,000","$5,000,000","$5,000,000","$5,000,000",yes,Pass,55.098039215686%,44.901960784314%,,yes
OH,Columbus,Municipal,11-02-2004,"Bond for parks, recreation, and land acquisition.",Bond,,"Parks, recreation","$46,640,000","$46,640,000","$46,640,000","$46,640,000",yes,Pass,75.40529794369%,24.59470205631%,,yes
OH,Granville Township,Municipal,11-02-2004,"5-year, 2.5 mill property tax replacement for preserving open space",Property tax,,Open space,"$3,215,000","$3,215,000","$3,215,000","$3,215,000",yes,Pass,67.171616503887%,32.828383496113%,Licking County,yes
OH,Lake County Metroparks District,County,11-02-2004,"10-year, .3 mill property tax (renewal) levy for the purpose of land acquisition and park development",Property tax,,"Open space, parks","$14,000,000","$14,000,000","$14,000,000","$14,000,000",yes,Pass,63.08694081469%,36.91305918531%,,yes
PA,Williams Township,Municipal,11-02-2004,.25% additional earned income tax to acquire open space and property development rights,Income tax,,"Open space, farmland","$4,500,000","$4,500,000","$4,500,000","$4,500,000",yes,Pass,69.75806451613%,30.24193548387%,Northampton County,yes
PA,East Nottingham Township,Municipal,11-02-2004,.5% earned income tax increase for the open space program,Income tax,,Open space,"$8,800,000","$8,800,000","$8,800,000","$8,800,000",yes,Pass,50.230414746544%,49.769585253456%,Chester County,yes
PA,Nockamixon Township,Municipal,11-02-2004,"1/4% earned income tax increase to be used to acquire property to protect and preserve open space, farmland, watersheds, parks and conservation sites",Income tax,,"Open space, trails, recreation, parks, watershed protection, farmland","$3,800,000","$3,800,000","$3,800,000","$3,800,000",yes,Pass,60.43219076006%,39.56780923994%,Bucks County,yes
PA,Concord Township,Municipal,11-02-2004,".189 mill property tax increase in order for the township to issue a bond to finance the acquisition of land for open space, property dedication rights, and conservation easements",Property tax,,"Open space, recreation, parks","$6,000,000","$6,000,000","$6,000,000","$6,000,000",yes,Pass,70.743584941%,29.256415059%,Delaware County,yes
PA,Highland Township,Municipal,11-02-2004,.5% earned income tax increase to purchase property to preserve as open space,Income tax,,Open space,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",yes,Pass,61.988304093567%,38.011695906433%,Chester County,yes
PA,Perkiomen Township,Municipal,11-02-2004,"1/8% increase in earned income tax to purchase land for open space, to purchase conservation easements, and/or purchase land for recreational purposes",Income tax,,"Open space, farmland, recreation","$4,500,000","$4,500,000","$4,500,000","$4,500,000",yes,Pass,69.27430093209%,30.72569906791%,Montgomery County,yes
RI,Rhode Island,State,11-02-2004,"Question 8, Statewide environmental bond for open space preservation and acquisition, wetlands protection, greenway expansion, and anti-pollution projects",Bond,,"Open space, recreation, watershed protection, farmland, parks, greenways","$70,000,000","$59,000,000","$70,000,000","$59,000,000",yes,Pass,70.782805198027%,29.217194801973%,,yes
RI,Middletown,Municipal,11-02-2004,Bond for open space,Bond,,Open space,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",yes,Pass,71.696960439896%,28.303039560104%,,yes
RI,Warwick,Municipal,11-02-2004,Bond for open space,Bond,,Open space,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",yes,Pass,69.187314726774%,30.812685273226%,,yes
RI,South Kingstown,Municipal,11-02-2004,Bond for open space,Bond,,Open space,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",yes,Pass,77.625682392243%,22.374317607757%,,yes
RI,Smithfield,Municipal,11-02-2004,"Question 15, Bond for Land Trust Open Space Program",Bond,,Open space,"$2,650,000","$2,650,000","$2,650,000","$2,650,000",yes,Pass,54.04294198264%,45.95705801736%,,yes
RI,Smithfield,Municipal,11-02-2004,"Question 16, Bond for Farm Land Trust Conservation",Bond,,Open space,"$2,500,000","$2,500,000","$2,500,000","$2,500,000",yes,Pass,62.508638562543%,37.491361437457%,,yes
SC,Charleston County,County,11-02-2004,"25-year, 1/2 cent sales tax increase for transportation, roads, open space, and parks",Sales tax,,"Open space, parks","$1,303,360,000","$221,571,200","$1,303,360,000","$221,571,200",yes,Pass,58.706660508693%,41.293339491307%,,yes
SC,Beaufort County,County,11-02-2004,"5-year, 1 cent sales tax for capital improvements, a portion of which will address park and open space needs of county residents",Sales tax,,"Open space, parks","$117,203,500","$11,870,000",,,no,Fail,49.867637947543%,50.132362052457%,,yes
TX,Kendall County,County,11-02-2004,"Proposition 1, Bond for open space, parks, and natural habitat",Bond,,"Open space, parks","$5,000,000","$5,000,000","$5,000,000","$5,000,000",yes,Pass,62.36254851229%,37.63745148771%,,yes
TX,Highland Village,Municipal,11-02-2004,"1/2 cent sales tax for the promotion of recreational facilities, public parks, and open space improvements",Sales tax,,"Open space, parks, recreation","$5,000,000","$3,750,000","$5,000,000","$3,750,000",yes,Pass,60.851122058019%,39.148877941981%,,yes
UT,Utah,State,11-02-2004,Statewide bond for open space backed by 1/20 of one cent sales tax to repay bond,Sales tax,,"Open space, recreation, watershed protection, wildlife habitat, farmland, parks, trails","$150,000,000","$150,000,000",,,no,Fail,45.132164278428%,54.867835721572%,Citizen Initiative Petition,yes
UT,Draper,Municipal,11-02-2004,Bond for watershed protection,Bond,,Watershed protection,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",yes,Pass,58.978648036997%,41.021351963003%,,yes
UT,Snyderville Basin Special Recreation District,Special District,11-02-2004,"Proposition 2, Bond issued for the purchase of open space in western Summit County",Bond,,Open space,"$10,000,000","$10,000,000","$10,000,000","$10,000,000",yes,Pass,67.360879706764%,32.639120293236%,,yes
VA,Fairfax County,County,11-02-2004,"Bond issued for open space, community parks, trails, recreation, and baseball fields",Bond,,"Recreation, open space, parks, trails","$75,000,000","$75,000,000","$75,000,000","$75,000,000",yes,Pass,73.409578597585%,26.590421402415%,,yes
VA,Chesterfield County,County,11-02-2004,Bond for county parks and recreation,Bond,,"Parks, recreation, open space","$19,674,700","$19,674,700","$19,674,700","$19,674,700",yes,Pass,79.645354060071%,20.354645939929%,,yes
VT,Burlington,Municipal,11-02-2004,"1 cent property tax increase to be placed in the Burlington Conservation Legacy Fund, with the purpose of purchasing and protecting natural areas and open space",Property tax,,Open space,"$3,700,000","$3,700,000","$3,700,000","$3,700,000",yes,Pass,65.628624449084%,34.371375550916%,,yes
WA,Metro Parks Tacoma,Special District,11-02-2004,Bond for parks and open space,Bond,,Open space and parks,"$60,000,000","$52,500,000",,,no,Fail,58.432150342519%,41.567849657481%,60% needed to pass,yes
WA,Gig Harbor,Municipal,11-02-2004,"Bond to acquire waterfront open space and land to initiate restoration of boatyard for historical, cultural, and recreational purposes",Bond,,"Open space, watershed protection, recreation","$3,500,000","$3,500,000","$3,500,000","$3,500,000",yes,Pass,62.05468102734%,37.94531897266%,60% needed to pass,yes
WA,Bonney Lake,Municipal,11-02-2004,Bond to acquire and develop parks and trails,Bond,,"Parks, trails, open space","$5,000,000","$5,000,000",,,no,Fail,52.298752350026%,47.701247649974%,60% needed to pass,yes
WI,Grafton,Municipal,11-02-2004,"50 cents per $1,000 property tax for open space",Property tax,,Open space,"$1,120,000","$1,120,000",,,no,Fail,28.783026421137%,71.216973578863%,,yes
WI,Hartford,Municipal,11-02-2004,Referendum asked voters if they would agree to initiate a program of rural preservation through purchase of develpment rights in farmland and open space through an increase in property tax,Property tax,,"Open space, farmland",,,,,no,Fail,42.655752614825%,57.344247385175%,,yes
TX,Denton,Municipal,02-05-2005,"Proposition 3, Bond for park system improvements",Bond,,"Parks, open space, trails, recreation","$10,700,000","$7,000,000","$10,700,000","$7,000,000",yes,Pass,53.979081400637%,46.020918599363%,Denton County,yes
MO,Bel-Ridge,Municipal,02-08-2005,Half-cent sales tax increase for parks and storm water control,Sales tax,,"Watershed protection, parks","$120,000","$120,000","$120,000","$120,000",yes,Pass,81.927710843373%,18.072289156627%,St. Louis County,yes
WA,Greater Clark Parks District,Special District,02-08-2005,"27 cents per $1,000 property tax to create a metropolitan parks district",Property tax,,"Parks, recreation, trails","$40,000,000","$40,000,000","$40,000,000","$40,000,000",yes,Pass,50.053680066802%,49.946319933198%,City of Vancouver in Clark County,yes
MI,Augusta Charter Township,Municipal,02-22-2005,"5-year, .50 mill property tax increase for the permanent preservation of farmland, open space, wildlife habitat, and water quality",Property tax,,"Open space, watershed protection, wildlife habitat, farmland","$418,070","$418,070",,,no,Fail,42.47619047619%,57.52380952381%,Washtenaw County,yes
MI,Berlin Charter Township,Municipal,02-22-2005,"10-year, 1 mill property tax increase for a purchase of development rights program to preserve farmland and open space",Property tax,,"Open space, farmland","$2,312,260","$2,312,260",,,no,Fail,22.098421541318%,77.901578458682%,Monroe County,yes
CA,Marinwood Community Services District,Special District,03-08-2005,"Measure D, $75 dollar increase to $150 on each land parcel for parks, open space, and street landscape maintenance",Other,Parcel tax,"Parks, open space","$5,200,000","$1,800,000","$5,200,000","$1,800,000",yes,Pass,70.95501183899%,29.04498816101%,"Marin County, 2/3 vote required",yes
FL,Pembroke Pines,Municipal,03-08-2005,Bond issue to pay for capital improvements and to buy land for preservation,Bond,,"Parks, open space","$100,000,000","$13,000,000","$100,000,000","$13,000,000",yes,Pass,52.601024473534%,47.398975526466%,Broward County,yes
VA,Henrico County,County,03-08-2005,"Bond for the acquisition, construction, and furnishing of one or more future park sites",Bond,,"Parks, recreation","$22,400,000","$10,400,000","$22,400,000","$10,400,000",yes,Pass,57.85833941841%,42.14166058159%,,yes
GA,Smyrna,Municipal,03-15-2005,Bond issue for parks and recreation upgrades,Bond,,"Parks, recreation","$22,000,000","$5,000,000","$22,000,000","$5,000,000",yes,Pass,83.641975308642%,16.358024691358%,Cobb County,yes
MA,Fairhaven,Municipal,04-04-2005,"Community Preservation Act, 2% property tax surcharge",Property tax,,Open space,"$3,757,220","$1,252,407","$3,757,220","$1,252,407",yes,Pass,57.029177718833%,42.970822281167%,Bristol County,yes
CA,Carmel-by-the-Sea,Municipal,04-05-2005,"2% increase in hotel room tax, a portion of which would maintain, protect and enhance the city's beach, parks, open space and forest (2/3 required)",Other,Transient occupancy tax,"Open space, parks, forests","$15,000,000","$4,000,000",,,no,Fail,54.248810333107%,45.751189666893%,"Monterey County, 2/3rds vote required",yes
CO,Durango,Municipal,04-05-2005,"20-year, .5 cent sales tax increase to fund open space preservation, parks, and trail development",Sales tax,,"Parks, trails, open space","$70,000,000","$35,000,000","$70,000,000","$35,000,000",yes,Pass,54.80743334231%,45.19256665769%,La Plata County,yes
IL,Kane County Forest Preserve District,County,04-05-2005,Bond to purchase additional open space,Bond,,Open space,"$75,000,000","$75,000,000","$75,000,000","$75,000,000",yes,Pass,64.712323966797%,35.287676033203%,,yes
IL,Will County Forest Preserve District,County,04-05-2005,Bonds to pay for new land acquisitions,Bond,,"Open space, trails, parks","$95,000,000","$95,000,000","$95,000,000","$95,000,000",yes,Pass,53.043236109598%,46.956763890402%,,yes
IL,Campton Township,Municipal,04-05-2005,Bond for further open space acquisition and preservation,Bond,,Open space,"$28,385,000","$28,385,000","$28,385,000","$28,385,000",yes,Pass,74.273463554073%,25.726536445927%,Kane County,yes
IL,Lyons Township,Municipal,04-05-2005,Bond for the purpose of procuring and improving one or more small parks,Bond,,"Parks, open space","$10,000,000","$10,000,000",,,no,Fail,25.307977514651%,74.692022485349%,Cook County,yes
IL,Plato Township,Municipal,04-05-2005,Request to increase the property tax levy by 35.4% for the care of parks and to buy open space,Property tax,,"Parks, open space","$28,000,000","$28,000,000",,,no,Fail,28.654485049834%,71.345514950166%,Kane County,yes
IL,Romeoville,Municipal,04-05-2005,Real estate transfer tax increase to continue preserving open space and parks,Real estate transfer tax,,"Open space, parks","$10,000,000","$10,000,000","$10,000,000","$10,000,000",yes,Pass,50.388143966126%,49.611856033874%,Will County,yes
MA,Randolph,Municipal,04-05-2005,"Community Preservation Act, 2% property tax surcharge",Property tax,,Open space,"$8,640,000","$2,880,000","$8,640,000","$2,880,000",yes,Pass,50.410209662716%,49.589790337284%,Norfolk County,yes
MO,Lee's Summit,Municipal,04-05-2005,"10-year, one-quarter of one percent sales tax for park improvements, including the acquisition and development of parks and greenways",Sales tax,,"Open space, parks, greenways","$38,000,000","$33,000,000","$38,000,000","$33,000,000",yes,Pass,69.05163685454%,30.94836314546%,Jackson County,yes
MA,Bourne,Municipal,04-06-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$14,800,000","$4,933,333","$14,800,000","$4,933,333",yes,Pass,83.60655737705%,16.39344262295%,,yes
MA,West Tisbury,Municipal,04-14-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$4,743,540","$1,581,180","$4,743,540","$1,581,180",yes,Pass,53.343465045593%,46.656534954407%,Initiative petition,yes
MA,Oak Bluffs,Municipal,04-14-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$6,804,660","$2,268,220","$6,804,660","$2,268,220",yes,Pass,54.096834264432%,45.903165735568%,Initiative petition,yes
MA,Edgartown,Municipal,04-14-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$8,156,980","$2,718,993","$8,156,980","$2,718,993",yes,Pass,51.742627345845%,48.257372654155%,Initiative petition,yes
MA,Tisbury,Municipal,04-19-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$6,951,820","$2,317,273","$6,951,820","$2,317,273",yes,Pass,61.192214111922%,38.807785888078%,Initiative petition,yes
MA,Raynham,Municipal,04-23-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$6,620,000","$2,206,667",,,no,Fail,40.307971014493%,59.692028985507%,,yes
MA,Kingston,Municipal,04-23-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$7,200,000","$2,400,000","$7,200,000","$2,400,000",yes,Pass,67.663209273948%,32.336790726052%,,yes
MA,Bridgewater,Municipal,04-23-2005,"Community Preservation Act, 2% property tax surcharge",Property tax,,Open space,"$5,600,000","$1,866,667","$5,600,000","$1,866,667",yes,Pass,62.229350441059%,37.770649558941%,Initiative petition,yes
MA,Wellfleet,Municipal,05-02-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$5,800,700","$1,933,567","$5,800,700","$1,933,567",yes,Pass,72.347826086957%,27.652173913043%,,yes
MA,Yarmouth,Municipal,05-02-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$21,515,980","$7,171,993","$21,515,980","$7,171,993",yes,Pass,80.089408528198%,19.910591471802%, Barnstable County,yes
CA,Seacliff,Special District,05-03-2005,"Measure V, 30-year, $98 per residential unit property tax to support parks, recreation, and cultural facilities (2/3 required)",Other,Parcel Tax,"Parks, Recreation","$1,800,000","$1,800,000",,,no,Fail,62.710363153233%,37.289636846767%,Santa Cruz County. 2/3 vote required,yes
NC,Cary,Municipal,05-03-2005,"Bond to preserve natural resources including open space, wildlife, and watershed protection",Bond,,"Open space, wildlife habitat, watershed protection","$10,000,000","$10,000,000","$10,000,000","$10,000,000",yes,Pass,75.186686579902%,24.813313420098%,Wake County,yes
CT,Farmington,Municipal,05-05-2005,Bond to acquire land for open space and recreation,Bond,,"Open space, recreation","$1,000,000","$1,000,000","$1,000,000","$1,000,000",yes,Pass,60.696680907%,39.303319093%,,yes
MA,Topsfield,Municipal,05-05-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$6,000,000","$2,000,000",,,no,Fail,34.223706176962%,65.776293823038%,Essex County,yes
MA,Sandwich,Municipal,05-05-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$11,700,000","$3,900,000","$11,700,000","$3,900,000",yes,Pass,80.09635651912%,19.90364348088%, Barnstable County,yes
MA,Mashpee,Municipal,05-07-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$14,000,000","$4,666,667","$14,000,000","$4,666,667",yes,Pass,87.68502072232%,12.31497927768%,,yes
MA,Wenham,Municipal,05-07-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$4,000,000","$1,333,333","$4,000,000","$1,333,333",yes,Pass,77.245508982036%,22.754491017964%,Essex County ,yes
